ER60001	ER60002	ER60017	ER60018	ER60167	ER62366	ER62506	ER64612	ER64810	ER65349	ER65459
1	7639	27	1	5	1	1	5	1	35536	13
1	13	66	1	5	3	0	5	1	64200	16
1	3773	24	1	5	1	1	5	1	18800	12
1	239	84	2	5	2	0	5	1	70344	13
1	1249	66	1	0	2	0	5	1	143531	17
1	4210	32	1	0	1	0	1	1	160040	17
1	3862	81	2	5	1	0	5	1	38026	17
1	8770	58	1	5	4	2	5	1	41748	12
1	2572	56	1	0	1	0	5	1	68180	17
1	4979	36	1	0	1	1	5	1	50000	10
1	6669	32	2	5	2	0	5	1	43800	11
1	2560	30	1	0	2	0	5	1	25550	12
1	5525	25	2	0	2	0	5	1	77600	16
1	7795	34	1	0	1	0	5	1	105800	12
1	2647	61	1	0	2	0	5	1	163008	17
1	3463	40	1	0	2	0	5	1	238020	14
1	6412	22	2	0	1	1	5	1	7050	16
1	4164	55	1	0	2	0	5	1	209870	17
1	5541	64	1	0	2	0	5	1	212700	16
1	1528	63	1	0	3	0	5	1	11802	16
1	7750	29	1	0	3	0	1	1	17600	13
1	107	74	1	5	1	0	5	1	114000	16
1	7515	49	1	0	1	0	5	1	812200	16
1	120	68	1	5	5	0	5	1	65917	15
1	8372	95	1	5	3	0	5	3	41728	12
1	1087	61	1	0	1	0	5	3	65273	12
1	6356	32	1	0	2	0	5	1	122600	17
1	1711	70	1	0	4	0	5	1	128000	17
1	1056	52	1	0	5	0	1	1	179572	12
1	8328	45	1	0	3	0	5	1	96000	9
1	3151	41	2	0	2	0	5	1	42000	17
1	4278	39	1	0	1	0	5	1	113620	16
1	5935	45	1	0	2	0	5	1	85620	17
1	7486	43	1	5	2	0	5	1	115026	16
1	837	83	1	5	3	0	5	1	50375	16
1	6126	54	2	5	2	0	1	1	65000	16
1	3025	66	1	5	2	0	5	1	38050	16
1	1803	60	2	0	2	0	5	1	61000	16
1	4089	30	1	0	1	0	5	1	202970	16
1	4642	24	2	0	4	2	5	1	24050	17
1	3585	37	1	0	1	2	5	1	253300	16
1	3864	91	1	5	3	0	5	1	192853	17
1	1317	61	1	5	2	0	5	1	2855	14
1	333	68	1	0	1	0	5	1	96503	17
1	4182	46	1	0	1	0	5	1	170000	17
