Zip	State	County	City	ZrentValue
37027	TN	Williamson	Brentwood	3021
78741	TX	Travis	Austin	1483
32765	FL	Seminole	Oviedo	1698
37421	TN	Hamilton	Chattanooga	1405
1201	MA	Berkshire	Pittsfield	1365
59102	MT	Yellowstone	Billings	1331
28205	NC	Mecklenburg	Charlotte	1246
20904	MD	Montgomery	Silver Spring	2267
94513	CA	Contra Costa	Brentwood	2506
30083	GA	Dekalb	Stone Mountain	1055
94087	CA	Santa Clara	Sunnyvale	4186
42701	KY	Hardin	Elizabethtown	1091
30067	GA	Cobb	Marietta	1437
8759	NJ	Ocean	Manchester	1450
30047	GA	Gwinnett	Lilburn	1424
30263	GA	Coweta	Newnan	1190
94112	CA	San Francisco	San Francisco	3828
78251	TX	Bexar	San Antonio	1348
53704	WI	Dane	Madison	1401
7305	NJ	Hudson	Jersey City	1817
23455	VA	Virginia Beach City	Virginia Beach	1548
30058	GA	Dekalb	Lithonia	1072
60608	IL	Cook	Chicago	1660
11216	NY	Kings	New York	2456
95125	CA	Santa Clara	San Jose	3617
28227	NC	Mecklenburg	Mint Hill	1251
29681	SC	Greenville	Simpsonville	1567
92122	CA	San Diego	San Diego	2702
41042	KY	Boone	Florence	1271
96815	HI	Honolulu	Honolulu	2175
30101	GA	Cobb	Acworth	1461
90036	CA	Los Angeles	Los Angeles	4397
19148	PA	Philadelphia	Philadelphia	1295
37064	TN	Williamson	Franklin	2368
33436	FL	Palm Beach	Boynton Beach	1823
27265	NC	Guilford	High Point	1158
33324	FL	Broward	Plantation	1691
43015	OH	Delaware	Delaware	1544
77346	TX	Harris	Atascocita	1665
37040	TN	Montgomery	Clarksville	994
33021	FL	Broward	Hollywood	1723
98208	WA	Snohomish	Seattle Hill-Silver Firs	2064
43302	OH	Marion	Marion	794
27407	NC	Guilford	Greensboro	974
76137	TX	Tarrant	Fort Worth	1511
92117	CA	San Diego	San Diego	2594
37122	TN	Wilson	Mount Juliet	1738
77070	TX	Harris	Houston	1594
98034	WA	King	Kirkland	2390
48439	MI	Genesee	Grand Blanc Township	1290
27703	NC	Durham	Durham	1255
78753	TX	Travis	Austin	1541
92128	CA	San Diego	San Diego	2545
33463	FL	Palm Beach	Greenacres	1577
94806	CA	Contra Costa	San Pablo	2341
92562	CA	Riverside	Murrieta	2096
77007	TX	Harris	Houston	2507
60004	IL	Cook	Arlington Heights	2078
7047	NJ	Hudson	North Bergen	2137
78664	TX	Williamson	Round Rock	1508
19104	PA	Philadelphia	Philadelphia	1277
95648	CA	Placer	Lincoln	2055
6457	CT	Middlesex	Middletown	1445
2151	MA	Suffolk	Revere	2250
33308	FL	Broward	Fort Lauderdale	2083
32825	FL	Orange	Orlando	1447
94591	CA	Solano	Vallejo	2172
34668	FL	Pasco	Port Richey	952
2780	MA	Bristol	Taunton	1602
78209	TX	Bexar	San Antonio	2224
2135	MA	Suffolk	Boston	2428
84404	UT	Weber	Ogden	1142
33141	FL	Miami-Dade	Miami Beach	1869
91331	CA	Los Angeles	Los Angeles	2439
7728	NJ	Monmouth	Freehold Township	2218
53711	WI	Dane	Madison	1681
85201	AZ	Maricopa	Mesa	1189
20910	MD	Montgomery	Silver Spring	2454
89074	NV	Clark	Henderson	1360
8873	NJ	Somerset	Franklin Township	2211
55124	MN	Dakota	Apple Valley	1674
93308	CA	Kern	Oildale	1197
48066	MI	Macomb	Roseville	972
28540	NC	Onslow	Jacksonville	850
17601	PA	Lancaster	Manheim Township	1340
8527	NJ	Ocean	Jackson	2121
6511	CT	New Haven	New Haven	1423
19144	PA	Philadelphia	Philadelphia	1223
22192	VA	Prince William	Woodbridge	1863
27106	NC	Forsyth	Winston-Salem	1219
37066	TN	Sumner	Gallatin	1465
97124	OR	Washington	Hillsboro	1750
32771	FL	Seminole	Sanford	1343
30075	GA	Fulton	Roswell	2272
70065	LA	Jefferson	Kenner	1422
45140	OH	Clermont	Loveland	1710
45424	OH	Montgomery	Huber Heights	945
22201	VA	Arlington	Arlington	2642
33023	FL	Broward	Miramar	1691
94568	CA	Alameda	Dublin	3183
90042	CA	Los Angeles	Los Angeles	2642
78641	TX	Williamson	Leander	1591
92020	CA	San Diego	El Cajon	2380
47130	IN	Clark	Jeffersonville	1079
61761	IL	McLean	Normal	1274
92620	CA	Orange	Irvine	3323
95112	CA	Santa Clara	San Jose	3112
94553	CA	Contra Costa	Martinez	2691
73505	OK	Comanche	Lawton	744
37129	TN	Rutherford	Murfreesboro	1418
10466	NY	Bronx	New York	1811
72034	AR	Faulkner	Conway	1109
19702	DE	New Castle	Newark	1406
30144	GA	Cobb	Kennesaw	1406
80219	CO	Denver	Denver	1729
21218	MD	Baltimore City	Baltimore	1291
91801	CA	Los Angeles	Alhambra	2480
37128	TN	Rutherford	Murfreesboro	1462
32839	FL	Orange	Orlando	1154
92882	CA	Riverside	Corona	2150
30907	GA	Columbia	Martinez	1101
19711	DE	New Castle	Newark	1669
76051	TX	Tarrant	Grapevine	2226
96706	HI	Honolulu	Ewa Beach	2447
34293	FL	Sarasota	Venice	1875
78228	TX	Bexar	San Antonio	1142
79109	TX	Potter	Amarillo	1356
7055	NJ	Passaic	Passaic	1793
85351	AZ	Maricopa	Sun City	1131
94015	CA	San Mateo	Daly City	3561
92201	CA	Riverside	Indio	1706
75204	TX	Dallas	Dallas	1885
60402	IL	Cook	Berwyn	1575
