Zip	NoReturns	SingleReturns	UnempComp	StudentLoanDeductions	TaxableIncome
56121	70	0	0	0	3196
56122	50	0	0	0	1835
56123	40	20	0	0	1549
56127	50	0	0	0	2357
56128	170	50	0	22	6165
56129	60	30	0	0	2462
56131	180	50	154	0	6934
56132	40	20	0	0	1391
56134	20	0	0	0	860
56136	80	30	0	48	2985
56137	90	40	0	0	3736
56138	70	20	0	41	2732
56139	30	0	0	0	1257
56141	50	20	0	0	2357
56142	80	30	0	19	3096
56143	370	130	185	57	15273
56144	80	30	0	27	2919
56145	50	30	0	0	2295
56149	80	0	0	0	3141
56150	220	50	175	32	8771
56151	70	20	0	29	2615
56152	110	30	0	15	4503
56155	40	20	0	0	1350
56156	470	130	118	99	18235
56157	50	30	0	0	2121
56158	50	0	0	0	2443
56159	200	50	136	21	7477
56160	20	0	0	0	789
56161	40	0	0	0	1619
56162	20	0	0	0	845
56164	400	110	105	84	15731
56165	40	0	0	0	1413
56167	50	0	0	0	1782
56168	80	20	0	0	3187
56169	70	20	163	31	2789
56170	40	0	0	0	1440
56171	130	40	153	27	5173
56172	230	50	135	28	8959
56173	40	0	0	0	1396
56174	30	0	0	0	1082
56175	230	50	119	45	8802
56176	70	30	0	0	2879
56178	120	30	0	0	4571
56180	80	40	0	0	3274
56181	80	30	0	0	3264
56183	80	40	0	37	3270
56185	60	0	0	0	2178
56186	30	0	0	0	1276
56187	820	200	128	78	31705
56201	1440	420	498	253	55884
56207	40	0	0	0	1809
56208	140	40	0	0	5509
56209	220	60	181	25	8461
56211	30	20	0	0	1236
56212	30	0	0	0	1268
56214	50	30	0	0	1919
56215	330	100	210	53	13352
56216	60	30	0	0	2538
56218	30	0	0	0	1260
56219	30	0	0	0	1305
56220	240	60	206	32	9200
56221	60	30	0	0	2214
56222	170	60	0	38	6638
56223	110	50	0	0	4385
56224	20	0	0	0	918
56225	70	30	0	0	2508
56226	20	0	0	0	832
56227	0	0	0	0	0
56228	80	40	0	0	3203
56229	130	30	0	27	5030
56230	60	20	0	21	2296
56231	40	20	0	0	1624
56232	180	50	107	29	7110
56235	50	20	0	20	1969
56236	40	0	0	0	1918
56237	40	0	0	0	1535
56239	60	0	0	39	2160
56240	60	30	0	23	2455
56241	330	110	202	44	13571
56243	140	50	0	0	5139
56244	110	40	165	0	4063
56245	40	0	0	0	1686
56248	70	40	0	0	2719
56249	40	0	0	0	1546
56251	90	30	0	0	3665
56252	110	40	0	0	3971
56253	80	40	0	0	3065
56255	30	0	0	0	999
56256	210	60	120	33	8620
56257	30	0	0	0	1261
56258	960	290	242	247	38304
56260	70	20	0	0	2729
56262	40	0	0	0	1477
56263	30	0	0	0	1218
56264	160	50	0	19	6191
56265	590	160	275	89	23610
56266	140	40	115	29	5393
56267	400	120	0	59	15251
56270	100	30	0	0	4055
56271	110	30	0	45	4189
56273	360	80	313	48	13914
56276	20	0	0	0	1011
56277	250	70	155	32	9663
56278	190	50	106	30	7312
56279	110	40	0	25	4465
56280	40	0	0	0	1688
56281	50	0	0	0	1886
56282	130	30	127	26	4644
56283	510	180	184	101	20630
56284	190	50	101	25	7325
56285	90	50	0	31	3677
56288	360	120	212	46	13962
56289	60	20	0	27	2240
56291	40	0	0	0	1391
56292	40	0	0	0	1437
56293	80	40	0	0	3384
56295	20	0	0	0	894
56296	140	60	0	29	5879
56297	80	0	0	23	3001
56301	1690	580	803	356	67662
56303	1880	640	838	418	76281
56304	790	290	356	137	32167
56307	380	90	174	39	14860
56308	1770	500	660	315	68482
56309	90	30	0	32	3574
56310	400	110	242	66	16218
56311	60	20	0	0	2549
56312	190	60	274	29	7252
56314	110	40	183	25	4114
56315	120	50	198	0	4445
56316	90	40	182	20	3359
56318	80	30	228	24	3021
56319	110	50	0	0	4195
56320	570	140	295	97	21936
56323	50	0	0	0	1932
56324	80	20	0	33	3013
56326	110	40	0	26	4451
56327	60	20	0	23	2118
56329	540	140	535	82	20844
56330	150	50	217	24	5620
56331	190	50	159	14	7087
56332	90	40	0	0	3648
56334	430	140	114	63	16948
56336	130	60	0	23	5201
56338	140	50	310	23	5155
56339	100	40	0	27	3830
56340	200	80	176	23	7821
56342	220	70	227	41	8852
56343	70	30	0	20	2763
56345	1080	270	834	124	41320
56347	470	90	259	57	17464
56349	70	20	0	35	2856
56350	30	0	0	0	1147
56352	400	100	116	43	15326
56353	670	200	497	98	26052
56354	120	40	0	0	4723
